,title,link,description,is_full_link,is_pdf,haystack
99,read more,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=8&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=be96bf6a3f57cce32b1c5a95937656dd,,True,False,read more https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=8&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=be96bf6a3f57cce32b1c5a95937656dd
100,radiation protection ,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=7&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=16f185b66db7e293156282257bf28fb4,,True,False,radiation protection  https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=7&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=16f185b66db7e293156282257bf28fb4
101,read more,https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=7&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=16f185b66db7e293156282257bf28fb4,,True,False,read more https://rura.rw/index.php?id=104&tx_news_pi1%5Bnews%5D=7&tx_news_pi1%5Bcontroller%5D=News&tx_news_pi1%5Baction%5D=detail&cHash=16f185b66db7e293156282257bf28fb4
102,annual reports,https://rura.rw/index.php?id=213,,True,False,annual reports https://rura.rw/index.php?id=213
103,tariffs,https://rura.rw/index.php?id=288,,True,False,tariffs https://rura.rw/index.php?id=288
104,statistics,https://rura.rw/index.php?id=276,,True,False,statistics https://rura.rw/index.php?id=276
105,revoked licenses,https://rura.rw/index.php?id=287,,True,False,revoked licenses https://rura.rw/index.php?id=287
106,key ict documents,https://rura.rw/index.php?id=211,,True,False,key ict documents https://rura.rw/index.php?id=211
107,consumer affairs,https://rura.rw/index.php?id=279,,True,False,consumer affairs https://rura.rw/index.php?id=279
108,regulations and guidelines,https://rura.rw/index.php?id=207,,True,False,regulations and guidelines https://rura.rw/index.php?id=207
109,board decisions,https://rura.rw/index.php?id=208,,True,False,board decisions https://rura.rw/index.php?id=208
110,regulations for consultation,https://rura.rw/index.php?id=291,,True,False,regulations for consultation https://rura.rw/index.php?id=291
111,faqs,https://rura.rw/index.php?id=217,,True,False,faqs https://rura.rw/index.php?id=217
